rank,gene,variance_log2,mean_log2
224,HORMAD1,8.007216315380857,1.8246353368758383
225,TRPA1,8.001581960633345,3.7552118346174894
226,SYT1,7.998834199687437,6.933017743763703
227,PTPRZ1,7.990352403963982,3.633131195519011
228,FOXJ1,7.979750077065857,4.399865304779753
229,FAM5B,7.953200918047921,3.9355330449376758
230,ANXA8,7.949897847998719,5.918435491207022
231,FGB,7.929903186927371,1.8879910646679003
232,SYTL5,7.925670812737564,6.271119526745265
233,CCL21,7.911632353997934,6.072900865721475
234,VTCN1,7.9095540572049385,10.002768082186787
235,KLK8,7.903441955167482,2.989423651339734
236,CYP4B1,7.895883094774375,7.063943798068805
237,PKP1,7.8576159429157775,7.553817187449496
238,KRT15,7.84378640083157,9.625869534538323
239,CR2,7.83949501604785,3.1499857280207624
240,GRB14,7.834839487163714,4.980533111335111
241,GLDC,7.824036369923591,4.217299243174083
242,ACTL8,7.8160138570563555,2.726760863328262
243,PLIN1,7.809588516764614,6.9510431532808274
244,AGTR1,7.800194366016859,6.378705986724804
245,BBOX1,7.776797174477338,4.767170429300122
246,GPD1,7.770717494858892,6.295935344988144
247,BCAS1,7.759749758466187,8.064264136295275
248,C16orf89,7.7582679054826595,5.818579039775417
249,ART3,7.745295300438311,2.217815148813186
250,TPRG1,7.740327944021162,7.572970699102999
251,CYP4X1,7.723704565446221,8.261201237510534
252,HOTAIR,7.717526115891431,5.357228962268227
253,SYT8,7.716778398541522,4.201333700562076
254,TUBA3D,7.7159944428674665,4.240470451614039
255,TMPRSS6,7.700398500435591,5.231782017341267
256,LRG1,7.688377914998999,8.247676531937078
257,CYP2A7,7.6699933958255775,1.8470815010007393
258,SPDYC,7.6655335825799735,1.8826431109156352
259,PROL1,7.656987806018016,2.093183675642308
260,NAT1,7.652209042357181,9.638101444292358
261,FSIP1,7.65052506138713,6.776343280237151
262,CIDEA,7.644261073423853,3.2385980025701384
263,GPR98,7.628870449296229,7.0070030600075786
264,MS4A1,7.615566131745642,5.033157077742978
265,CHGB,7.613688117215122,2.439555045815174
266,DLK1,7.6119177078953095,1.74076256024763
267,TRIM29,7.598878761428648,8.372073228642982
268,FAM196A,7.598367497679795,5.128676825754555
269,SLPI,7.583838795843106,8.154057071003184
270,GSTA1,7.5803037130028486,2.5761961254798504
271,CHIT1,7.573336502615132,5.5587716083748875
272,NDP,7.553591264651761,4.807550850356528
273,ROPN1B,7.5291195715528625,3.284228207442848
274,GATA3-AS1,7.5279541410811985,6.76970789776042
275,ALOX15B,7.523841317897021,6.754579107786524
276,SOSTDC1,7.513741509562295,4.5601977345887255
277,ZIC2,7.5006186399964365,3.404726574011193
278,PNMT,7.471908587960343,3.810751604712123
279,IGDCC3,7.471536211144146,3.6436397080003133
280,PPP4R4,7.464418565472026,3.5535544362967024
